gene,pvalue
D18Ertd653e,584.36
Tmem167,502.05
4930447F04Rik,479.28
AW146154,421.13
App,420.58
Maf,390.93
Clcn5,375.59
Jph1,371.3
Tll1,371.17
Zwint,328.04
Skor2,280.73
2610017I09Rik,253.19
Gm10287,247.4
Pirt,240.94
Cyp17a1,236.01
9130014G24Rik,212.63
Sema6a,201.94
A2ld1,200.99
Dtwd1,188.57
Lrrfip2,165.73
Pstpip2,163.23
Tcf12,3100
Arhgap28,3100
Pstpip2,3100
Clybl,3100
Gm4868,3100
Cer1,2954.51
Lhfp,2943.15
Fam26d,2842.66
Hsfy2,2815.86
Tnc,2352.3
Dpp10,2329.04
Nkain2,2177.19
Magi1,2143.5
Pfn2,2000.81
Lhfpl2,1624.89
Gm6657,1482.16
Tal1,1170.67
Tgfbr3,1162.73
Gcet2,1156.04
Hhat,1017.73
Slc6a1,907.99
Ptbp2,904.87
Lrrc51,809.51
B930007M17Rik,743.54
Olfr138,701.75
Gbe1,692.61
Rdh10,657.67
2410076I21Rik,648.66
Cdyl,639.56
Igkv1-115,637.72
Meis2,631.24
Foxn3,606.44
Ext1,458.29
